title,pubDate,link
"b'The office of the President must be above caste, religion and gender'","b'Sat, 24 Jun 2017 05:08:22 GMT '",b'http://www.hindustantimes.com/editorials/the-office-of-the-president-must-be-above-caste-religion-and-gender/story-l4XhDS6o00SG4jAbE864hN.html'
b'J-K cop lynching: Should police complement the Army or serve the people?',"b'Fri, 23 Jun 2017 05:39:03 GMT '",b'http://www.hindustantimes.com/editorials/j-k-cop-lynching-should-police-complement-the-army-or-serve-the-people/story-RcsuOIK0HtZ7cWKXmhek7O.html'
"b""Pentagon report is proof that India's Afghan policy is on the right track""","b'Fri, 23 Jun 2017 01:42:57 GMT '",b'http://www.hindustantimes.com/editorials/pentagon-report-is-proof-that-india-s-afghan-policy-is-on-the-right-track/story-dim1VTHfQCvPi5ka9hjTGI.html'
"b""AIIMS MBBS result 2017: Top 10 from one Kota coaching school. Isn't it odd?""","b'Fri, 23 Jun 2017 03:58:04 GMT '",b'http://www.hindustantimes.com/editorials/aiims-mbbs-result-2017-top-10-from-one-kota-coaching-school-isn-t-it-odd/story-6mm65fff3DhyMBu5gIYvVK.html'
b'LS Speaker Sumitra Mahajan must realise that journalists are not PR professiona...',"b'Thu, 22 Jun 2017 10:12:32 GMT '",b'http://www.hindustantimes.com/editorials/ls-speaker-sumitra-mahajan-must-realise-that-journalists-are-not-pr-professionals/story-PNHZVRptCdghMvs18Y8ZjJ.html'
"b""Charging people with sedition for raising 'pro-Pakistan' slogans is ridiculous""","b'Wed, 21 Jun 2017 03:43:27 GMT '",b'http://www.hindustantimes.com/editorials/charging-people-with-sedition-for-raising-pro-pakistan-slogans-is-ridiculous/story-5mr06JMxrYoWIWsSwH8PDI.html'
b'Green tribunal should step in to prevent the assault on Aravalis',"b'Wed, 21 Jun 2017 09:11:51 GMT '",b'http://www.hindustantimes.com/editorials/green-tribunal-should-step-in-to-prevent-the-assault-on-aravalis/story-PdJypWECJ1vphE0QE5kp2M.html'
b'A US-Russia stand-off in Syria will have dangerous global implications',"b'Tue, 20 Jun 2017 10:40:21 GMT '",b'http://www.hindustantimes.com/editorials/a-us-russia-stand-off-in-syria-will-have-dangerous-global-implications/story-BPV0XwHa6Ng1ouud58AYDI.html'
b'Chief ministers such as Raje are doing more harm than good to Swachh Bharat Abh...',"b'Mon, 19 Jun 2017 12:35:18 GMT '",b'http://www.hindustantimes.com/editorials/chief-ministers-such-raje-are-doing-more-harm-than-good-to-swachch-bharat-abhiyan/story-Jdhl7cl3S9qxElNo5PusgK.html'
b'Setting up gaushalas on surplus jail land will not help prisoners',"b'Mon, 19 Jun 2017 10:48:12 GMT '",b'http://www.hindustantimes.com/editorials/setting-up-gaushalas-on-surplus-jail-land-will-not-help-prisoners/story-96iPmmuKgG7Ke51s4LYoiP.html'
"b""Pakistan's India-centric foreign policy based on geopolitical lies is backfiring""","b'Sat, 17 Jun 2017 06:13:02 GMT '",b'http://www.hindustantimes.com/editorials/pakistan-s-india-centric-foreign-policy-based-on-geopolitical-lies-is-backfiring/story-AZC2uHb0KY6EtJg84iYBJK.html'
b'Darjeeling stir: Mamata is playing with fire by ignoring the Gorkha identity is...',"b'Fri, 16 Jun 2017 01:54:42 GMT '",b'http://www.hindustantimes.com/editorials/darjeeling-stir-mamata-is-playing-with-fire-by-ignoring-the-gorkha-identity-issue/story-wnJC3yHPzCt0Fqs4aQj7LJ.html'
b'RBI directive on bankruptcies could start economic revival',"b'Thu, 15 Jun 2017 06:06:56 GMT '",b'http://www.hindustantimes.com/editorials/rbi-directive-on-bankruptcies-could-start-economic-revival/story-8kJuMBvllG3hDkQz7rkBvI.html'
"b""Why a few changes in cattle trade rules won't be enough to ensure peace""","b'Wed, 14 Jun 2017 12:14:46 GMT '",b'http://www.hindustantimes.com/editorials/why-a-few-changes-in-cattle-trade-rules-won-t-be-enough-to-ensure-peace/story-2qhOfOWgOfEdY0gbwF4OUM.html'
b'Why do so few girls opt for science and engineering in India?',"b'Tue, 13 Jun 2017 11:36:36 GMT '",b'http://www.hindustantimes.com/editorials/why-do-so-few-girls-opt-for-science-and-engineering-in-india/story-8PUPNxLID6cogEfszVmoqN.html'
