title,pubDate,description,link
J-K cop lynching: Should police complement the Army or serve the people?,"Fri, 23 Jun 2017 05:39:03 GMT ",As violence spirals once again in the region and Kashmir’s police find themselves in the crosshairs of militants and blood-thirsty mobs. The government must decide what it wants their role to be,http://www.hindustantimes.com/editorials/j-k-cop-lynching-should-police-complement-the-army-or-serve-the-people/story-RcsuOIK0HtZ7cWKXmhek7O.html
Pentagon report is proof that India's Afghan policy is on the right track,"Fri, 23 Jun 2017 01:42:57 GMT ",The importance of Pentagon’s report lies in its timing. It is the first one released under President Donald Trump and is taking place as the geopolitical playbook in Afghanistan is once again being rewritten,http://www.hindustantimes.com/editorials/pentagon-report-is-proof-that-india-s-afghan-policy-is-on-the-right-track/story-dim1VTHfQCvPi5ka9hjTGI.html
AIIMS MBBS result 2017: Top 10 from one Kota coaching school. Isn't it odd?,"Fri, 23 Jun 2017 03:58:04 GMT ",This All India Institute of Medical Sciences (AIIMS) MBBS 2017 examination results must be treated as a wake-up call by the policy makers and all those who are involved in the setting the papers,http://www.hindustantimes.com/editorials/aiims-mbbs-result-2017-top-10-from-one-kota-coaching-school-isn-t-it-odd/story-6mm65fff3DhyMBu5gIYvVK.html
LS Speaker Sumitra Mahajan must realise that journalists are not PR professiona...,"Thu, 22 Jun 2017 10:12:32 GMT ","If the Lok Sabha Speaker thinks that ‘good-news’ journalism helps the government in power, she is wrong. No government can benefit from dressing uncomfortable facts in pleasant language or indeed not bringing them to public attention at all",http://www.hindustantimes.com/editorials/ls-speaker-sumitra-mahajan-must-realise-that-journalists-are-not-pr-professionals/story-PNHZVRptCdghMvs18Y8ZjJ.html
Charging people with sedition for raising 'pro-Pakistan' slogans is ridiculous,"Wed, 21 Jun 2017 03:43:27 GMT ",The strength of India lies not in suppressing voices but in its long-standing tradition of multiculturalism and plurality that has held the country together even at the worst of times. ,http://www.hindustantimes.com/editorials/charging-people-with-sedition-for-raising-pro-pakistan-slogans-is-ridiculous/story-5mr06JMxrYoWIWsSwH8PDI.html
Green tribunal should step in to prevent the assault on Aravalis,"Wed, 21 Jun 2017 09:11:51 GMT ","With dwindling water resources, the Natural Conservation Zone concept is highly relevant today since concrete structures on wetlands, gullies, ravines, foothills and storm water drains disrupt the replenishment of ground water",http://www.hindustantimes.com/editorials/green-tribunal-should-step-in-to-prevent-the-assault-on-aravalis/story-PdJypWECJ1vphE0QE5kp2M.html
"The office of the President must be above caste, religion and gender","Tue, 20 Jun 2017 11:14:14 GMT ",The candidate should not be part of a larger political agenda on the part of either the government or the Opposition. No one doubts the credentials of Ram Nath Kovind or the fact that him being chosen is a victory for equal opportunity,http://www.hindustantimes.com/editorials/the-office-of-the-president-must-be-above-caste-religion-and-gender/story-l4XhDS6o00SG4jAbE864hN.html
A US-Russia stand-off in Syria will have dangerous global implications,"Tue, 20 Jun 2017 10:40:21 GMT ","The escalation of military activity in Syria, especially by the US and Russia, is unprecedented and could have dangerous global implications",http://www.hindustantimes.com/editorials/a-us-russia-stand-off-in-syria-will-have-dangerous-global-implications/story-BPV0XwHa6Ng1ouud58AYDI.html
Chief ministers such as Raje are doing more harm than good to Swachh Bharat Abh...,"Mon, 19 Jun 2017 12:35:18 GMT ","The programme will  not be sustainable in the long run if government officials use coercion and violence to end open defecation, and political leaders keep supporting such illegal moves ",http://www.hindustantimes.com/editorials/chief-ministers-such-raje-are-doing-more-harm-than-good-to-swachch-bharat-abhiyan/story-Jdhl7cl3S9qxElNo5PusgK.html
Setting up gaushalas on surplus jail land will not help prisoners,"Mon, 19 Jun 2017 10:48:12 GMT ",BJP-led State governments cannot be totally focused on cow protection and promotion at the cost of other pressing issues,http://www.hindustantimes.com/editorials/setting-up-gaushalas-on-surplus-jail-land-will-not-help-prisoners/story-96iPmmuKgG7Ke51s4LYoiP.html
