title,pubDate,link
Pic: Karisma Kapoor flaunts a black bikini,"Sat, 24 Jun 2017 06:00:37 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Karisma-Kapoor-flaunts-a-black-bikini-at-the-French-Riviera/photostory/59296186.cms
'Mom': Reasons to watch the film,"Tue, 06 Jun 2017 11:42:34 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Mom-Reasons-to-watch-the-film/photostory/59018963.cms
Sonakshi strikes Tubelight pose with Salman,"Sat, 24 Jun 2017 05:32:11 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Sonakshi-Sinha-strikes-the-Tubelight-pose-with-Salman-Khan-and-Sohail-Khan-at-post-screening-bash/photostory/59295953.cms
Movie Review: Tubelight,"Fri, 23 Jun 2017 01:45:53 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/tubelight/movie-review/59273178.cms
Revealed: Govinda’s look from ‘Jagga Jasoos’,"Fri, 23 Jun 2017 06:54:46 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Revealed-Govindas-look-from-Jagga-Jasoos/photostory/59282517.cms
"Preity, Iulia attend 'Tubelight' screening","Fri, 23 Jun 2017 07:00:04 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/PIC-Preity-Zinta-and-Iulia-Vantur-spotted-at-Tubelight-screening-hosted-by-Salman-Khan/photostory/59282634.cms
Alia Bhatt and Sidharth Malhotra will reunite for ‘Aashiqui 3’,"Fri, 23 Jun 2017 06:32:30 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Alia-Bhatt-and-Sidharth-Malhotra-will-reunite-for-Aashiqui-3/photostory/59281953.cms
Shah Rukh Khan's ‘Tubelight’ cameo leaked online,"Fri, 23 Jun 2017 04:54:46 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khans-tubelight-cameo-leaked-online/articleshow/59280799.cms
SRK watches 'Tubelight with daughter Suhana,"Fri, 23 Jun 2017 03:49:55 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/PIC-Shah-Rukh-Khan-and-daughter-Suhana-Khan-attend-special-Tubelight-screening/photostory/59280204.cms
Pic: Aishwarya-Aaradhya’s play date in London,"Fri, 23 Jun 2017 03:54:13 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Aishwarya-Aaradhya-Abhishek-enjoy-some-family-time-at-the-park/photostory/59280226.cms
Ishaan Khatter shoots 64 takes in muck for Majid Majidi's film,"Fri, 23 Jun 2017 04:44:32 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Ishaan-Khatter-shoots-64-takes-in-muck-for-Majid-Majidis-film/photostory/59280702.cms
Watch: 'Tubelight' star Matin Rey Tangu’s audition footage,"Fri, 23 Jun 2017 03:44:19 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-tubelight-star-matin-rey-tangus-audition-footage/articleshow/59280149.cms
Pics: Mira Rajput spotted on a day out with daughter Misha,"Thu, 22 Jun 2017 05:42:25 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pics-Mira-Rajput-spotted-on-a-day-out-with-daughter-Misha/photostory/59264617.cms
Pic: Sara Ali Khan’s resemblance with Amrita,"Thu, 22 Jun 2017 05:15:41 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Sara-Ali-Khan-looks-like-a-spitting-image-of-her-mum-Amrita-Singh/photostory/59264245.cms
"Arjun Kapoor goes in flashback mode, shares '90s childhood click","Thu, 22 Jun 2017 03:41:33 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Arjun-Kapoor-goes-in-flashback-mode-shares-90s-childhood-click/photostory/59263222.cms
WATCH: 'Mubarakan' title track,"Thu, 22 Jun 2017 11:57:07 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/music/news/mubarakan-first-song-arjun-kapoor-is-set-to-get-you-grooving-in-the-films-title-track/articleshow/59270873.cms
Sridevi would prefer to see Jhanvi married?,"Thu, 22 Jun 2017 05:14:43 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Sridevi-would-prefer-to-see-daughter-Jhanvi-Kapoor-married-rather-than-in-the-film-industry/photostory/59264283.cms
TV actress Mouni Roy to debut with Akshay's 'Gold',"Thu, 22 Jun 2017 07:38:41 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/TV-actress-Mouni-Roy-gets-her-big-Bollywood-break-in-Akshay-Kumars-Gold/photostory/59266734.cms
Salman-Arbaaz start working on ‘Dabanng 3’?,"Thu, 22 Jun 2017 10:03:52 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Salman-Khan-and-Arbaaz-Khan-start-working-on-Dabanng-3/photostory/59268928.cms
John Abraham launches first poster of 'Parmanu: The story of Pokhran',"Thu, 22 Jun 2017 04:43:08 GMT",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/John-Abraham-launches-impressive-first-poster-of-Parmanu-The-story-of-Pokhran/photostory/59264370.cms
