title,pubDate,description,link
Revealed: Govinda’s look from ‘Jagga Jasoos’,"Fri, 23 Jun 2017 06:54:46 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Revealed-Govindas-look-from-Jagga-Jasoos/photostory/59282517.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59282579.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Revealed-Govindas-look-from-Jagga-Jasoos/photostory/59282517.cms
"Preity, Iulia attend 'Tubelight' screening","Fri, 23 Jun 2017 07:00:04 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/PIC-Preity-Zinta-and-Iulia-Vantur-spotted-at-Tubelight-screening-hosted-by-Salman-Khan/photostory/59282634.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59282666.cms"" /></a>Salman Khan hosted a special screening of his film 'Tubelight' for family and a few close friends on Thursday evening. The actor invited a selected to few to join him watch the film before its worldwide release on Friday.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/PIC-Preity-Zinta-and-Iulia-Vantur-spotted-at-Tubelight-screening-hosted-by-Salman-Khan/photostory/59282634.cms
Alia Bhatt and Sidharth Malhotra will reunite for ‘Aashiqui 3’,"Fri, 23 Jun 2017 06:32:30 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Alia-Bhatt-and-Sidharth-Malhotra-will-reunite-for-Aashiqui-3/photostory/59281953.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59282211.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Alia-Bhatt-and-Sidharth-Malhotra-will-reunite-for-Aashiqui-3/photostory/59281953.cms
Shah Rukh Khan's ‘Tubelight’ cameo leaked online,"Fri, 23 Jun 2017 04:54:46 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khans-tubelight-cameo-leaked-online/articleshow/59280799.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59280799.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/shah-rukh-khans-tubelight-cameo-leaked-online/articleshow/59280799.cms
SRK watches 'Tubelight with daughter Suhana,"Fri, 23 Jun 2017 03:49:55 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/PIC-Shah-Rukh-Khan-and-daughter-Suhana-Khan-attend-special-Tubelight-screening/photostory/59280204.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59280217.cms"" /></a>Bollywood’s Badshah Shah Rukh Khan was among the first few celebrities to catch a screening at a multiplex in Mumbai.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/PIC-Shah-Rukh-Khan-and-daughter-Suhana-Khan-attend-special-Tubelight-screening/photostory/59280204.cms
Movie Review: Tubelight,"Fri, 23 Jun 2017 01:45:53 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/tubelight/movie-review/59273178.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59273178.cms"" /></a>Salman laughs and cries unselfconsciously, unraveling the lesser-seen side of his macho image. He cannot move mountains with his performance but he manages to keep the faith alive. Sohail is sincere. Zhu Zhu shows spunk and young Matin entertains. And, Om Puri reminds you of the mettle unsung heroes are made of.",http://timesofindia.indiatimes.com/entertainment/hindi/movie-reviews/tubelight/movie-review/59273178.cms
Pic: Aishwarya-Aaradhya’s play date in London,"Fri, 23 Jun 2017 03:54:13 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Aishwarya-Aaradhya-Abhishek-enjoy-some-family-time-at-the-park/photostory/59280226.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59280262.cms"" /></a>",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pic-Aishwarya-Aaradhya-Abhishek-enjoy-some-family-time-at-the-park/photostory/59280226.cms
Ishaan Khatter shoots 64 takes in muck for Majid Majidi's film,"Fri, 23 Jun 2017 04:44:32 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Ishaan-Khatter-shoots-64-takes-in-muck-for-Majid-Majidis-film/photostory/59280702.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59280713.cms"" /></a>We all know how Shahid Kapoor puts his heart and soul into his characters and it seems sibling Ishaan Khatter is no different.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Ishaan-Khatter-shoots-64-takes-in-muck-for-Majid-Majidis-film/photostory/59280702.cms
Watch: 'Tubelight' star Matin Rey Tangu’s audition footage,"Fri, 23 Jun 2017 03:44:19 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-tubelight-star-matin-rey-tangus-audition-footage/articleshow/59280149.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59280149.cms"" /></a>The little ‘Tubelight’ star Matin Rey Tangu, is rising high on popularity charts, just as Salman Khan’s former 'Bajrangi Bhaijaan' co-star Harshali Malhotra.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/watch-tubelight-star-matin-rey-tangus-audition-footage/articleshow/59280149.cms
Pics: Mira Rajput spotted on a day out with daughter Misha,"Thu, 22 Jun 2017 05:42:25 GMT","<a href=""http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pics-Mira-Rajput-spotted-on-a-day-out-with-daughter-Misha/photostory/59264617.cms""><img border=""0"" hspace=""10"" align=""left"" style=""margin-top:3px;margin-right:5px;"" src=""http://timesofindia.indiatimes.com/photo/59264717.cms"" /></a>You just can't take your eyes off these cute pictures of Shahid Kapoor-Mira Rajput's daughter Misha.",http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/Pics-Mira-Rajput-spotted-on-a-day-out-with-daughter-Misha/photostory/59264617.cms
