title,pubDate,link
"b""Subtle message for Trump in PM Modi's huddle with CEOs""","b'Sun, 25 Jun 2017 05:04:02 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/subtle-message-for-donald-trump-in-pm-narendra-modis-huddle-with-ceos/articleshow/59306077.cms'
b'Job market eyes GST booster for over 1 lakh immediate openings',"b'Sun, 25 Jun 2017 06:41:19 GMT'",b'http://economictimes.indiatimes.com/jobs/job-market-eyes-gst-booster-for-over-1-lakh-immediate-openings/articleshow/59307523.cms'
"b""Why RSS agreed on Ram Nath Kovind as BJP's choice for Raisina Hill""","b'Sun, 25 Jun 2017 05:04:52 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/why-rss-agreed-on-ram-nath-kovind-as-bjps-choice-for-raisina-hill/articleshow/59302629.cms'
b'PM Modi gets warm welcome by Indians in US',"b'Sun, 25 Jun 2017 06:21:31 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/pm-narendra-modi-gets-warm-welcome-by-indians-in-us/articleshow/59307437.cms'
"b""'Aadhaar not valid for travel to Nepal, Bhutan'""","b'Sun, 25 Jun 2017 06:27:28 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/aadhaar-not-valid-for-travel-to-nepal-bhutan-home-ministry/articleshow/59307488.cms'
b'Jab they meet: What Trump may tell Modi',"b'Sun, 25 Jun 2017 06:03:48 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/jab-they-meet-what-donald-trump-may-tell-narendra-modi/articleshow/59307260.cms'
"b'PM recalls Emergency, pitches for strong democracy'","b'Sun, 25 Jun 2017 05:50:20 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/mann-ki-baat-pm-narendra-modi-reminds-of-emergency-horrors-requests-people-to-work-towards-strengthening-democracy/articleshow/59307119.cms'
b'Reddy wanted to quit over row with Chidambaram',"b'Sun, 25 Jun 2017 06:01:59 GMT'",b'http://economictimes.indiatimes.com/news/politics-and-nation/y-v-reddy-wanted-to-quit-twice-on-difference-with-p-chidambaram/articleshow/59307239.cms'
b'Trump keeping Indians away from US colleges',"b'Sun, 25 Jun 2017 00:50:37 GMT'",b'http://economictimes.indiatimes.com/nri/visa-and-immigration/why-indian-students-and-their-parents-are-wary-of-us-campuses-ahead-of-2017-18-academic-season/articleshow/59302604.cms'
"b""Why Oyo may be darkest horse in SoftBank's portfolio""","b'Sun, 25 Jun 2017 00:51:25 GMT'",b'http://economictimes.indiatimes.com/small-biz/startups/why-oyo-may-be-the-darkest-horse-in-softbanks-india-portfolio/articleshow/59300815.cms'
