title,pubDate,link
b'Srikanth wins win Australia Open Super Series title',"b'Sun, 25 Jun 2017 06:30:19 GMT'",b'http://timesofindia.indiatimes.com/sports/badminton/kidambi-srikanth-beats-chen-long-to-win-australia-open-super-series/articleshow/59307323.cms'
"b""You can't make villain out of Virat Kohli: Vikram Rathore""","b'Sun, 25 Jun 2017 02:52:38 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/india-in-west-indies/you-cant-make-villain-out-of-virat-kohli-vikram-rathore/articleshow/59305826.cms'
b'There is definitely a bit of lacuna: Sanjay Bangar on Anil Kumble quitting',"b'Sun, 25 Jun 2017 05:34:01 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/india-in-west-indies/there-is-definitely-a-bit-of-lacuna-sanjay-bangar-on-anil-kumble-quitting/articleshow/59306898.cms'
b'Kidambi Srikanth has made the nation proud: PM Modi',"b'Sun, 25 Jun 2017 07:05:07 GMT'",b'http://timesofindia.indiatimes.com/sports/badminton/kidambi-srikanth-has-made-the-nation-proud-pm-modi/articleshow/59307831.cms'
"b""Totals in excess of 250 good for women's cricket: Mithali Raj""","b'Sun, 25 Jun 2017 06:27:21 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/icc-womens-world-cup-2017/totals-in-excess-of-250-good-for-womens-cricket-mithali-raj/articleshow/59307487.cms'
b'Focus on Yuvraj as India hope for rain-free second ODI',"b'Sat, 24 Jun 2017 08:27:47 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/india-in-west-indies/focus-on-yuvraj-as-india-hope-for-rain-free-second-odi-against-west-indies/articleshow/59297561.cms'
"b""Indian cricket community hails women's victory in World Cup""","b'Sun, 25 Jun 2017 04:50:13 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/icc-womens-world-cup-2017/indian-cricket-community-hails-womens-victory-in-world-cup/articleshow/59306656.cms'
b'BCCI asks Shashank Manohar to testify in WSG matter',"b'Sun, 25 Jun 2017 03:48:05 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/news/bcci-asks-shashank-manohar-to-testify-in-wsg-matter/articleshow/59306354.cms'
b'Rajasthan Cricket Association shuts door on Lalit Modi',"b'Sun, 25 Jun 2017 03:21:28 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/news/rajasthan-cricket-association-shuts-door-on-lalit-modi/articleshow/59306173.cms'
"b'World Cup: Mandhana, Raj guide India to 35-run win over England'","b'Sat, 24 Jun 2017 16:42:13 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/icc-womens-world-cup-2017/mandhana-raj-guide-india-to-35-run-win-over-england/articleshow/59302421.cms'
b'Hockey World League Semi-Final: India beat Pakistan 6-1',"b'Sat, 24 Jun 2017 12:35:00 GMT'",b'http://timesofindia.indiatimes.com/sports/hockey/hockey-world-league-semi-final/hockey-world-league-semi-finals-india-humble-pakistan-6-1/articleshow/59299922.cms'
b'Kumble was impeccable in his role as coach: Vinod Rai',"b'Sat, 24 Jun 2017 16:05:02 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/india-in-west-indies/kumble-was-impeccable-in-his-role-as-coach-vinod-rai/articleshow/59301956.cms'
b'Anish wins gold in Junior Shooting World Championship',"b'Sat, 24 Jun 2017 15:52:33 GMT'",b'http://timesofindia.indiatimes.com/sports/more-sports/shooting/junior-shooting-world-championship-anish-wins-gold-with-world-record-score/articleshow/59301875.cms'
b'Kidambi Srikanth sails into Australian Open Super Series final',"b'Sat, 24 Jun 2017 04:09:31 GMT'",b'http://timesofindia.indiatimes.com/sports/badminton/srikanth-kidambi-sails-into-australia-open-super-series-final/articleshow/59295328.cms'
b'F1: Hamilton takes 66th career pole in Azerbaijan',"b'Sat, 24 Jun 2017 14:33:15 GMT'",b'http://timesofindia.indiatimes.com/sports/racing/top-stories/hamilton-takes-66th-career-pole-in-azerbaijan/articleshow/59301017.cms'
b'Eight-time champion Federer reaches 11th Halle final',"b'Sat, 24 Jun 2017 13:33:15 GMT'",b'http://timesofindia.indiatimes.com/sports/tennis/top-stories/eight-time-champion-federer-reaches-11th-halle-final-after-beating-khachanov/articleshow/59300434.cms'
"b'Devendro, Ankush in finals of Mongolian boxing tourney'","b'Sat, 24 Jun 2017 11:14:45 GMT'",b'http://timesofindia.indiatimes.com/sports/boxing/devendro-ankush-in-finals-of-mongolian-boxing-tourney/articleshow/59299006.cms'
"b""ICC & Twitter light up Women's WC with emojis of captains""","b'Sat, 24 Jun 2017 13:25:55 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/icc-womens-world-cup-2017/icc-twitter-light-up-womens-cricket-world-cup-with-first-of-its-kind-emojis-of-captains/articleshow/59300345.cms'
b'Srinivasan set to represent TNCA at BCCI SGM',"b'Sat, 24 Jun 2017 12:05:48 GMT'",b'http://timesofindia.indiatimes.com/sports/cricket/news/srinivasan-set-to-represent-tnca-at-bcci-sgm/articleshow/59299608.cms'
b'Kvitova into Birmingham final after Safarova retires',"b'Sat, 24 Jun 2017 12:23:30 GMT'",b'http://timesofindia.indiatimes.com/sports/tennis/top-stories/kvitova-into-birmingham-final-after-safarova-retires/articleshow/59299820.cms'
