title,pubDate,description,link
Catalonia’s Challenge to Spain,"Fri, 23 Jun 2017 11:33:07 -0400","<a href=""https://www.nytimes.com/2017/06/23/opinion/catalonias-challenge-to-spain.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/24/opinion/24editorial-inyt/24editorial-inyt-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>Madrid’s opposition to an independence referendum has probably boosted enthusiasm for a measure with questionable support....",https://www.nytimes.com/2017/06/23/opinion/catalonias-challenge-to-spain.html?partner=rssnyt&emc=rss
The Young and Brash Saudi Crown Prince,"Fri, 23 Jun 2017 03:21:09 -0400","<a href=""https://www.nytimes.com/2017/06/23/opinion/saudi-arabia-mohammed-bin-salman.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/23/opinion/23fri2web/23fri2web-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>Is the new heir apparent ready to govern?...",https://www.nytimes.com/2017/06/23/opinion/saudi-arabia-mohammed-bin-salman.html?partner=rssnyt&emc=rss
The Senate’s Unaffordable Care Act,"Fri, 23 Jun 2017 03:21:09 -0400","<a href=""https://www.nytimes.com/2017/06/23/opinion/senate-obamacare-repeal.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/23/opinion/23fri1/23fri1-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>The bill’s real aim is to cut taxes for the rich at the expense of health services that millions depend on....",https://www.nytimes.com/2017/06/23/opinion/senate-obamacare-repeal.html?partner=rssnyt&emc=rss
Albany Turns Its Back on City Schools,"Fri, 23 Jun 2017 03:21:07 -0400","<a href=""https://www.nytimes.com/2017/06/23/opinion/bill-de-blasio-nyc-schools.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/23/opinion/23fri3web/23fri3web-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>By not renewing Mayor Bill de Blasio’s control over public education, lawmakers risked sending things back to the bad old days of decentralization....",https://www.nytimes.com/2017/06/23/opinion/bill-de-blasio-nyc-schools.html?partner=rssnyt&emc=rss
Congress Steps Up on Foreign Policy,"Thu, 22 Jun 2017 03:21:06 -0400","<a href=""https://www.nytimes.com/2017/06/22/opinion/congress-nato-trump.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/22/opinion/22thu1/22thu1-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>Lawmakers of both parties have provided reassurance to allies and have countered some of President Trump’s worst moves....",https://www.nytimes.com/2017/06/22/opinion/congress-nato-trump.html?partner=rssnyt&emc=rss
"Grenfell Tower Fire: Mindless Deregulation, Senseless Harm","Thu, 22 Jun 2017 03:21:05 -0400","<a href=""https://www.nytimes.com/2017/06/22/opinion/london-fire-grenfell-tower.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/22/opinion/22thu2web/22thu2web-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>Safety rules should be enacted or rejected based on analysis, not arbitrary formulas, like those adopted by Britain and the president....",https://www.nytimes.com/2017/06/22/opinion/london-fire-grenfell-tower.html?partner=rssnyt&emc=rss
Uber is a Creature of an Industry Struggling to Grow Up,"Wed, 21 Jun 2017 19:23:25 -0400","<a href=""https://www.nytimes.com/2017/06/21/opinion/travis-kalanick-uber-ceo.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/22/opinion/22thu3web/22thu3web-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>For all its brilliant minds, Silicon Valley is still struggling to graduate from adolescence to adulthood....",https://www.nytimes.com/2017/06/21/opinion/travis-kalanick-uber-ceo.html?partner=rssnyt&emc=rss
Misguided Attacks on Al Jazeera,"Wed, 21 Jun 2017 09:30:45 -0400","<a href=""https://www.nytimes.com/2017/06/21/opinion/misguided-attacks-on-al-jazeera.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/21/opinion/jazeeraINYT/jazeeraINYT-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>By attacking Al Jazeera, the Saudis and their neighbors are trying to eliminate a voice that could lead citizens to question their rulers....",https://www.nytimes.com/2017/06/21/opinion/misguided-attacks-on-al-jazeera.html?partner=rssnyt&emc=rss
The Health Care of Millions Depends on a Few Senators,"Wed, 21 Jun 2017 03:21:04 -0400","<a href=""https://www.nytimes.com/2017/06/21/opinion/health-care-bill-senate.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/21/opinion/21wed1/21wed1-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>The Senate majority leader is doing everything he can to keep the public in the dark about his plan to undo Obamacare....",https://www.nytimes.com/2017/06/21/opinion/health-care-bill-senate.html?partner=rssnyt&emc=rss
Tired of the Suspense on Mayoral Control of Schools,"Wed, 21 Jun 2017 03:21:03 -0400","<a href=""https://www.nytimes.com/2017/06/21/opinion/nyc-schools-mayoral-control.html?partner=rssnyt&emc=rss""><img src=""http://static01.nyt.com/images/2017/06/21/opinion/21wed3new/21wed3new-thumbStandard.jpg"" border=""0"" height=""75"" width=""75"" hspace=""4"" align=""left""/></a>Albany Republicans seem to like watching Mayor Bill de Blasio squirm....",https://www.nytimes.com/2017/06/21/opinion/nyc-schools-mayoral-control.html?partner=rssnyt&emc=rss
