title,pubDate,link
b'\n\tGlastonbury: Suki Waterhouse flaunts her long legs\n      ',"b'Sun, 25 Jun 2017 04:53:22 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4636414/Glastonbury-Suki-Waterhouse-flaunts-long-legs.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tRande Gerber gushes over the Clooneys' new twins\n      ""","b'Sun, 25 Jun 2017 02:34:26 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4636346/Rande-Gerber-gushes-Clooneys-new-twins.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tTallia Storm rocks semi-sheer gown at Jersey Style Awards\xc2\xa0\n      ',"b'Sun, 25 Jun 2017 00:43:18 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4636444/Tallia-Storm-rocks-semi-sheer-gown-Jersey-Style-Awards.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tBig Brother's Lotan Carter BREAKS OUT of the house\n      ""","b'Sat, 24 Jun 2017 23:25:15 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4636098/Big-Brother-s-Lotan-Carter-BREAKS-house.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tBlac Chyna in ambulance being rar-ended in her Rolls-Royce\n      ',"b'Sat, 24 Jun 2017 20:25:01 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4635756/Blac-Chyna-ambulance-rar-ended-Rolls-Royce.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tIsabelle Warburton performs strip tease in Big Brother\n      ',"b'Sat, 24 Jun 2017 19:30:47 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4635730/Isabelle-Warburton-performs-strip-tease-Big-Brother.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tFerne McCann has 'positive vibes' towards labour\n      ""","b'Sat, 24 Jun 2017 18:21:19 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4635790/Ferne-McCann-reveals-birthing-plan.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tMariah Carey puts on a busty display at Herm\xc3\xa8s in Paris\n      ',"b'Sat, 24 Jun 2017 13:08:20 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4633430/Mariah-Carey-puts-busty-display-Herm-s-Paris.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tTake That the musical takes \xc2\xa310m 3 months before tour\n      ',"b'Fri, 09 Jun 2017 07:29:23 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4586828/Take-musical-takes-10m-three-months-tour.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tThe Mummy review by Brian Viner\n      ',"b'Fri, 09 Jun 2017 04:58:06 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4586662/Curse-crummy-Mummy.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tCaptain America Chris Evans' bond with young co-star\n      ""","b'Fri, 09 Jun 2017 03:01:47 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4586878/The-girl-stole-Captain-America-Chris-Evans-s-heart.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tHugh Laurie wanted to star in The Night Manager\n      ',"b'Fri, 09 Jun 2017 02:27:10 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4586930/Hugh-Laurie-wanted-Night-Manager.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b'\n\tWilson is an engaging dark comedy, says BRIAN VINER\n      '","b'Fri, 09 Jun 2017 01:57:18 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4586906/Wilson-engaging-dark-comedy-says-BRIAN-VINER.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tRichard Gere's Norman conquest is perfectly cast\n      ""","b'Fri, 09 Jun 2017 01:56:04 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4586834/Richard-Gere-s-Norman-conquest-perfectly-cast.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tBRIAN VINER: Depp in Pirates of the Caribbean has buckled\n      ',"b'Mon, 05 Jun 2017 08:43:26 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4543494/BRIAN-VINER-Depp-Pirates-Caribbean-buckled.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tBAZ BAMIGBOYE: Formidable Nicole is the queen of Cannes\n      ',"b'Fri, 26 May 2017 01:00:05 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4543316/BAZ-BAMIGBOYE-Formidable-Nicole-queen-Cannes.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tIdris Elba's the boss on both sides of the camera\n      ""","b'Fri, 12 May 2017 01:30:45 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4498014/Idris-Elba-s-boss-sides-camera.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
b'\n\tBRIAN VINER watches post-war melodrama Frantz\n      ',"b'Fri, 12 May 2017 01:22:19 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4498004/BRIAN-VINER-watches-post-war-melodrama-Frantz.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
"b""\n\tGemma Arterton leads cast in tale of Britain's finest hour\n      ""","b'Fri, 21 Apr 2017 08:14:13 +0100'",b'\n\thttp://www.dailymail.co.uk/tvshowbiz/article-4430994/Gemma-Arterton-leads-cast-tale-Britain-s-finest-hour.html?ITO=1490&ns_mchannel=rss&ns_campaign=1490\n      '
