title,pubDate,link
Is Donald Trump right that Mexico is the second-deadliest country in the world?,"Fri, 23 Jun 2017 15:46:22 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/is-donald-trump-right-that-mexico-is-the-second-deadliest-country-in-the-world/
Those skirt-wearing British schoolboys just won the right to wear shorts,"Fri, 23 Jun 2017 15:39:29 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/its-so-hot-in-england-schoolboys-are-wearing-skirts/
Kazakhstan and Kyrgyzstan deny reports they are in talks with Russia to send troops to Syria,"Fri, 23 Jun 2017 13:06:32 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/kazakhstan-and-kyrgyzstan-deny-reports-they-are-in-talks-with-russia-to-send-troops-to-syria/
"Massacres and mutilations in Congo have left more than 3,000 dead since October, reports say","Fri, 23 Jun 2017 09:30:56 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/massacres-and-mutilations-in-congo-have-left-more-than-3000-dead-since-october-reports-say/
The 12 months in which Britain turned from a seemingly confident leader into a stretched nation,"Fri, 23 Jun 2017 09:00:50 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/one-year-after-brexit-britain-has-turned-from-a-seemingly-confident-leader-into-a-stretched-nation/
"A year after a divisive vote, doubts are mounting in a town that went overwhelmingly for Brexit","Fri, 23 Jun 2017 07:55:51 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/one-year-after-a-divisive-vote-doubts-are-mounting-in-a-town-that-voted-overwhelmingly-for-brexit/
"A vice president with a taste for yachts, sports cars and mansions is now on trial","Fri, 23 Jun 2017 07:00:04 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/a-vice-president-with-a-taste-for-yachts-sports-cars-and-mansions-is-now-on-trial/
The importance of talking to terrorists,"Fri, 23 Jun 2017 05:00:27 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/the-importance-of-talking-to-terrorists/
Prince Harry says no one in royal family really wants to wear the crown,"Thu, 22 Jun 2017 17:52:20 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/prince-harry-says-no-one-in-royal-family-really-wants-to-wear-the-crown/
Islamic State claims a historic mosque in Mosul was destroyed by a U.S. airstrike — but video evidence suggests otherwise,"Thu, 22 Jun 2017 16:33:24 +0000",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/isis-claims-a-historic-mosque-in-mosul-was-destroyed-by-a-u-s-airstrike-but-video-evidence-suggests-otherwise/
