title,pubDate,description,link
Is Donald Trump right that Mexico is the second-deadliest country in the world?,"Fri, 23 Jun 2017 15:46:22 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/is-donald-trump-right-that-mexico-is-the-second-deadliest-country-in-the-world/"" title=""Is Donald Trump right that Mexico is the second-deadliest country in the world?""><img title=""Is Donald Trump right that Mexico is the second-deadliest country in the world?"" src=""http://www.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-06-16/Getty/AFP_PM5D9.jpg"" alt=""Is Donald Trump right that Mexico is the second-deadliest country in the world?"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		MEXICO CITY — With another flurry of his Twitter fingers, President Trump got Mexico gnashing its teeth. On Thursday night, Trump tweeted that “Mexico was just ranked the second deadliest country in the world, after only Syria. Drug trade largely the cause. We will BUILD THE WALL!” Mexico was just ranked the second deadliest country [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/is-donald-trump-right-that-mexico-is-the-second-deadliest-country-in-the-world/
Those skirt-wearing British schoolboys just won the right to wear shorts,"Fri, 23 Jun 2017 15:39:29 +0000","The British schoolboys who wore girls' uniform skirts to class to protest a “no shorts” policy during an intense heat wave have won their fight. Dozens of boys at Isca Academy in Exeter said it was too hot for pants as temperatures approached 90 degrees. So Thursday, without an option to wear shorts, some of the boys borrowed uniform skirts from their [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/its-so-hot-in-england-schoolboys-are-wearing-skirts/
Kazakhstan and Kyrgyzstan deny reports they are in talks with Russia to send troops to Syria,"Fri, 23 Jun 2017 13:06:32 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/kazakhstan-and-kyrgyzstan-deny-reports-they-are-in-talks-with-russia-to-send-troops-to-syria/"" title=""Kazakhstan and Kyrgyzstan deny reports they are in talks with Russia to send troops to Syria""><img title=""Kazakhstan and Kyrgyzstan deny reports they are in talks with Russia to send troops to Syria"" src=""http://www.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-06-10/Getty/AFP_PF16O.jpg"" alt=""Kazakhstan and Kyrgyzstan deny reports they are in talks with Russia to send troops to Syria"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		Reports that Russia is trying to persuade Kazakhstan and Kyrgyzstan to send troops to Syria have sparked confused and carefully worded denials from those two countries. Vladimir Shamanov, head of the defense committee of Russia's State Duma, told the RIA Novosti news agency Thursday that soldiers from the former Soviet republics could be sent to [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/kazakhstan-and-kyrgyzstan-deny-reports-they-are-in-talks-with-russia-to-send-troops-to-syria/
"Massacres and mutilations in Congo have left more than 3,000 dead since October, reports say","Fri, 23 Jun 2017 09:30:56 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/massacres-and-mutilations-in-congo-have-left-more-than-3000-dead-since-october-reports-say/"" title=""download (1)""><img title=""download (1)"" src=""http://www.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-06-08/Getty/AFP_PD76U.jpg"" alt=""Massacres and mutilations in Congo have left more than 3,000 dead since October, reports say"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		Congo's Catholic church released a report this week claiming that 3,383 people have been killed in the Kasai region since October. The church, the only institution which has a presence across most of this gigantic and largely lawless country, said the brutal killings were perpetrated by the national army, Bana Mura, a militia aligned with the [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/massacres-and-mutilations-in-congo-have-left-more-than-3000-dead-since-october-reports-say/
The 12 months in which Britain turned from a seemingly confident leader into a stretched nation,"Fri, 23 Jun 2017 09:00:50 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/one-year-after-brexit-britain-has-turned-from-a-seemingly-confident-leader-into-a-stretched-nation/"" title=""2300-london0620v3 (1)""><img title=""2300-london0620v3 (1)"" src=""http://img.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-05-31/Getty/AFP_P44AH.jpg"" alt=""The 12 months in which Britain turned from a seemingly confident leader into a stretched nation"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		LONDON — The glory days of the Empire are long over. But in some ways, Britain still seemed like it was punching far above its weight a year ago. Although less populous than France or Germany, Britain remained a political and economic world leader, and was the dream destination for Europeans in awe of London, its vibrant capital. [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/one-year-after-brexit-britain-has-turned-from-a-seemingly-confident-leader-into-a-stretched-nation/
"A year after a divisive vote, doubts are mounting in a town that went overwhelmingly for Brexit","Fri, 23 Jun 2017 07:55:51 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/one-year-after-a-divisive-vote-doubts-are-mounting-in-a-town-that-voted-overwhelmingly-for-brexit/"" title=""TilburyUK_361466956266""><img title=""TilburyUK_361466956266"" src=""http://img.washingtonpost.com/rf/image_960w/2010-2019/WashingtonPost/2016/06/26/Others/Images/2016-06-26/TilburyUK_611466956745.jpg"" alt=""A year after a divisive vote, doubts are mounting in a town that went overwhelmingly for Brexit"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		TILBURY, England — On June 23, 2016, the port town of Tilbury in southeastern England sent a clear message to the world when more than 72 percent of voters here and in surrounding Thurrock voted for Britain to leave the European Union. Few other towns in the country voted more decisively in favor of what has [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/one-year-after-a-divisive-vote-doubts-are-mounting-in-a-town-that-voted-overwhelmingly-for-brexit/
"A vice president with a taste for yachts, sports cars and mansions is now on trial","Fri, 23 Jun 2017 07:00:04 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/a-vice-president-with-a-taste-for-yachts-sports-cars-and-mansions-is-now-on-trial/"" title=""Capture""><img title=""Capture"" src=""http://www.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-06-17/Getty/AFP_PM7KD.jpg"" alt=""A vice president with a taste for yachts, sports cars and mansions is now on trial"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		NAIROBI — Even before the corruption trial of Equatorial Guinea’s vice president began in France this week, there was no shortage of publicity about the lavish lifestyle of Teodoro Nguema Obiang Mangue. News reports say he has enjoyed the use of two yachts worth an estimated $250 million — about twice his country's annual education budget [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/a-vice-president-with-a-taste-for-yachts-sports-cars-and-mansions-is-now-on-trial/
The importance of talking to terrorists,"Fri, 23 Jun 2017 05:00:27 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/the-importance-of-talking-to-terrorists/"" title=""0623_Forn_Enemy_SS""><img title=""0623_Forn_Enemy_SS"" src=""http://www.washingtonpost.com/blogs/worldviews/files/2017/06/0623_Forn_Enemy_SS.jpg"" alt=""The importance of talking to terrorists"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		Want smart analysis of the most important news in your inbox every weekday along with other global reads, interesting ideas and opinions to know? Sign up for the Today's WorldView newsletter. The Washington Post's Souad Mekhennet, a Europe-based national security correspondent and an accomplished investigative reporter, recently published a book that stitches together some of [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/23/the-importance-of-talking-to-terrorists/
Prince Harry says no one in royal family really wants to wear the crown,"Thu, 22 Jun 2017 17:52:20 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/prince-harry-says-no-one-in-royal-family-really-wants-to-wear-the-crown/"" title=""Prince Harry says no one in royal family really wants to wear the crown""><img title=""Prince Harry says no one in royal family really wants to wear the crown"" src=""http://img.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2016-07-14/Getty/547198184.jpg"" alt=""Prince Harry says no one in royal family really wants to wear the crown"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		It's hard out there for a king. Or a king-to-be. Or even the spare-heir. That's one of the dominant themes to come out of Prince Harry's Newsweek feature. In it, the 32-year-old royal discussed the challenges of being born into his family. Taking over as monarch, he said, is a job that no one really [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/prince-harry-says-no-one-in-royal-family-really-wants-to-wear-the-crown/
Islamic State claims a historic mosque in Mosul was destroyed by a U.S. airstrike — but video evidence suggests otherwise,"Thu, 22 Jun 2017 16:33:24 +0000","
		<div>
		<a href=""http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/isis-claims-a-historic-mosque-in-mosul-was-destroyed-by-a-u-s-airstrike-but-video-evidence-suggests-otherwise/"" title=""Islamic State claims a historic mosque in Mosul was destroyed by a U.S. airstrike — but video evidence suggests otherwise""><img title=""Islamic State claims a historic mosque in Mosul was destroyed by a U.S. airstrike — but video evidence suggests otherwise"" src=""http://www.washingtonpost.com/rf/image_960w/2010-2019/Wires/Images/2017-06-22/Reuters/2017-06-22T154618Z_1547383609_RC14E29969B0_RTRMADP_3_MIDEAST-CRISIS-IRAQ-MOSUL.jpg"" alt=""Islamic State claims a historic mosque in Mosul was destroyed by a U.S. airstrike — but video evidence suggests otherwise"" style=""maxwidth: ; maxheight: ;"" /></a>
		</div>
		<br/>
		The iconic leaning minaret of the Great Mosque of al-Nuri has stood over Mosul for 800 years. But on Wednesday, one of the most iconic religious sites in the country came crashing down as the Iraqi army fought to take the city back from Islamic State militants. What happened to al-Nuri mosque? The Islamic State’s Amaq News [&#8230;]",http://www.washingtonpost.com/blogs/worldviews/wp/2017/06/22/isis-claims-a-historic-mosque-in-mosul-was-destroyed-by-a-u-s-airstrike-but-video-evidence-suggests-otherwise/
