title,pubDate,link
Leaderless Uber Scrambles to Prevent Employee Exodus,"Fri, 23 Jun 2017 15:23:09 EDT",https://www.wsj.com/articles/uber-makes-quick-workplace-reforms-to-calm-strained-nerves-1498237561?mod=rss_Technology
"From Music to Maps, How Apple's iPhone Changed Business","Fri, 23 Jun 2017 11:14:43 EDT",https://www.wsj.com/articles/from-music-to-maps-how-apples-iphone-changed-business-1498210201?mod=rss_Technology
The New Sticker Shock: Plunging Cellphone Bills,"Fri, 23 Jun 2017 15:28:15 EDT",https://www.wsj.com/articles/the-new-sticker-shock-plunging-cellphone-bills-1498232910?mod=rss_Technology
Uber Ex-CEO Travis Kalanick Knew of Stolen Google Files,"Thu, 22 Jun 2017 22:17:56 EDT",https://www.wsj.com/articles/uber-ex-ceo-travis-kalanick-knew-of-stolen-google-files-1498163977?mod=rss_Technology
Tesla Explores Possibility of Manufacturing Cars in China,"Thu, 22 Jun 2017 15:31:21 EDT",https://www.wsj.com/articles/tesla-exploring-possibility-of-manufacturing-cars-in-china-1498145548?mod=rss_Technology
Apple Scraps Like an Underdog in Second Biggest Mobile Market,"Fri, 23 Jun 2017 03:17:55 EDT",https://www.wsj.com/articles/apple-scraps-like-an-underdog-in-second-biggest-mobile-market-1498123803?mod=rss_Technology
"Facebook Has New Vision Beyond 'Connecting,' and It Thinks Groups Are Key","Thu, 22 Jun 2017 18:36:05 EDT",https://www.wsj.com/articles/facebook-sets-new-vision-for-next-decade-outlines-new-features-1498148171?mod=rss_Technology
BlackBerry Revenue Falls Amid Shift to Software,"Fri, 23 Jun 2017 13:54:12 EDT",https://www.wsj.com/articles/blackberry-revenue-falls-amid-shift-to-software-1498229944?mod=rss_Technology
Content Recommendation Firm Outbrain Lays Off 4% of its Workforce,"Fri, 23 Jun 2017 12:43:23 EDT",https://www.wsj.com/articles/content-recommendation-firm-outbrain-lays-off-4-of-its-workforce-1498232045?mod=rss_Technology
Trump Promises Telecom Executives Less Red Tape,"Thu, 22 Jun 2017 17:14:18 EDT",https://www.wsj.com/articles/trump-promises-telecom-executives-less-red-tape-1498156054?mod=rss_Technology
Taiwan's Foxconn Eyes Seven States for $10 Billion Investment,"Thu, 22 Jun 2017 14:43:20 EDT",https://www.wsj.com/articles/foxconn-in-talks-with-u-s-states-over-new-plant-1498105489?mod=rss_Technology
Weibo Gets in Beijing's Way,"Fri, 23 Jun 2017 06:01:14 EDT",https://www.wsj.com/articles/weibo-gets-in-beijings-way-1498211891?mod=rss_Technology
Apple Supplier Imagination Technologies Puts Itself Up for Sale,"Thu, 22 Jun 2017 07:21:00 EDT",https://www.wsj.com/articles/apple-supplier-imagination-technologies-puts-itself-up-for-sale-1498130119?mod=rss_Technology
Cable Operator Altice USA Climbs in Market Debut,"Thu, 22 Jun 2017 17:49:58 EDT",https://www.wsj.com/articles/cable-operator-altice-usa-trades-higher-in-market-debut-1498141409?mod=rss_Technology
Oracle's Cloud Business Lifts Profit,"Wed, 21 Jun 2017 18:56:21 EDT",https://www.wsj.com/articles/oracles-cloud-business-lifts-profit-1498077696?mod=rss_Technology
NBC Sports Jumps on the Esports Bandwagon,"Wed, 21 Jun 2017 13:11:09 EDT",https://www.wsj.com/articles/nbc-sports-jumps-on-the-esports-bandwagon-1498039380?mod=rss_Technology
Aviation Industry Seeks to Strengthen Cybersecurity Defenses,"Thu, 22 Jun 2017 12:40:39 EDT",https://www.wsj.com/articles/aviation-industry-seeks-to-strengthen-cybersecurity-defenses-1498104452?mod=rss_Technology
Car Buyers Complain About Semiautonomous Features,"Wed, 21 Jun 2017 14:37:02 EDT",https://www.wsj.com/articles/car-buyers-complain-about-semiautonomous-features-1498064400?mod=rss_Technology
Virgin Mobile to Become iPhone-Only Carrier,"Wed, 21 Jun 2017 17:29:32 EDT",https://www.wsj.com/articles/virgin-mobile-to-become-iphone-only-carrier-1498079762?mod=rss_Technology
Trump Administration to Rescind Obama's Foreign-Born Founder Rule,"Thu, 22 Jun 2017 07:04:44 EDT",https://www.wsj.com/articles/trump-administration-to-rescind-obamas-foreign-born-founder-rule-1498072904?mod=rss_Technology
Tesla Replaces Chief of Self-Driving Software,"Wed, 21 Jun 2017 00:35:53 EDT",https://www.wsj.com/articles/tesla-replaces-self-driving-software-chief-1498012870?mod=rss_Technology
Tokyo Takes Lead in Toshiba Chip-Unit Sale Over China Fears,"Wed, 21 Jun 2017 12:10:02 EDT",https://www.wsj.com/articles/toshiba-picks-government-led-group-as-preferred-bidder-for-chip-unit-1498015576?mod=rss_Technology
"The Economy Needs Amazons, but It Mostly Has GEs","Wed, 21 Jun 2017 10:22:21 EDT",https://www.wsj.com/articles/the-economy-needs-amazons-but-it-mostly-has-ges-1498037403?mod=rss_Technology
Media Startups Try a Lower-Cost Model: Unpaid Student Writers,"Thu, 22 Jun 2017 07:03:13 EDT",https://www.wsj.com/articles/media-startups-try-a-lower-cost-model-unpaid-student-writers-1498050000?mod=rss_Technology
Amazon's New Wardrobe Service Is Latest Threat for Apparel Stores,"Tue, 20 Jun 2017 17:57:51 EDT",https://www.wsj.com/articles/amazons-new-wardrobe-service-is-latest-threat-for-apparel-stores-1497978320?mod=rss_Technology
"Where Bezos Leads, Amazon Shareholders Blindly Follow","Thu, 22 Jun 2017 20:16:56 EDT",https://www.wsj.com/articles/where-bezos-leads-amazon-shareholders-blindly-follow-1498147966?mod=rss_Technology
Dear iPhone: I Love You. I Hate You.,"Wed, 21 Jun 2017 23:44:34 EDT",https://www.wsj.com/articles/dear-iphone-i-love-you-i-hate-you-1498063185?mod=rss_Technology
Wal-Mart to Vendors: Get Off Amazon's Cloud,"Fri, 23 Jun 2017 10:58:35 EDT",https://www.wsj.com/articles/wal-mart-to-vendors-get-off-amazons-cloud-1498037402?mod=rss_Technology
"Toys Now Have Digital Eyes---Some Cool, Some Creepy","Thu, 22 Jun 2017 18:17:43 EDT",https://www.wsj.com/articles/dolls-with-digital-eyes-eerie-or-endearing-1498150668?mod=rss_Technology
Big Prize in Amazon-Whole Foods Deal: Data,"Tue, 20 Jun 2017 23:34:37 EDT",https://www.wsj.com/articles/big-prize-in-amazon-whole-foods-deal-data-1497951004?mod=rss_Technology
How Technology Can Eliminate Traffic Congestion,"Tue, 20 Jun 2017 23:00:49 EDT",https://www.wsj.com/articles/how-technology-can-eliminate-traffic-congestion-1498010580?mod=rss_Technology
The End of Car Ownership,"Wed, 21 Jun 2017 14:20:00 EDT",https://www.wsj.com/articles/the-end-of-car-ownership-1498011001?mod=rss_Technology
Among the iPhone's Biggest Transformations: Apple Itself,"Thu, 22 Jun 2017 14:35:13 EDT",https://www.wsj.com/articles/among-the-iphones-biggest-transformations-apple-itself-1497951003?mod=rss_Technology
"Forget Mowing Lawns; Teens Make North of $20,000 Fixing Broken Phones","Wed, 21 Jun 2017 09:03:26 EDT",https://www.wsj.com/articles/bust-your-phone-again-these-teens-are-here-to-helpfor-a-price-1497969766?mod=rss_Technology
Who Can Challenge the Google-Facebook 'Duopoly'?,"Tue, 20 Jun 2017 10:03:20 EDT",https://www.wsj.com/articles/the-race-is-on-to-challenge-google-facebook-duopoly-in-digital-advertising-1497864602?mod=rss_Technology
Snap's Challenge: How to Grow Without Getting Awkward,"Thu, 15 Jun 2017 19:43:52 EDT",https://www.wsj.com/articles/snaps-challenge-how-to-grow-without-getting-awkward-1497528001?mod=rss_Technology
Rural America Is Stranded in the Dial-Up Age,"Fri, 16 Jun 2017 11:55:40 EDT",https://www.wsj.com/articles/rural-america-is-stranded-in-the-dial-up-age-1497535841?mod=rss_Technology
Google Will Buy Modular Homes to Address Housing Crunch,"Wed, 14 Jun 2017 16:02:24 EDT",https://www.wsj.com/articles/google-bets-on-modular-homes-to-fill-housing-demand-1497448838?mod=rss_Technology
Scientist's 'Tenacious' Research Paved Way for Breast-Cancer Treatment,"Fri, 16 Jun 2017 10:00:10 EDT",https://www.wsj.com/articles/scientists-tenacious-research-paved-way-for-breast-cancer-treatment-1497621601?mod=rss_Technology
