title,pubDate,description,link
Britain's Evans tests positive for cocaine,"Fri, 23 Jun 2017 17:49:50 GMT","British number three Dan Evans announces he tested positive for cocaine in a drugs test taken in April, saying: ""I made a mistake.""",http://www.bbc.co.uk/sport/tennis/40387574
Mauricio Pellegrino: Southampton appoint former Alaves boss as manager,"Fri, 23 Jun 2017 15:56:31 GMT","Southampton appoint Mauricio Pellegrino as their new manager, with the 45-year-old former Alaves boss replacing Claude Puel.",http://www.bbc.co.uk/sport/football/40385651
Verstappen fastest before crashing in Azerbaijan practice,"Fri, 23 Jun 2017 14:58:36 GMT","Red Bull's Max Verstappen is fastest before crashing during practice for the Azerbaijan Grand Prix, with Lewis Hamilton only 10th.",http://www.bbc.co.uk/sport/formula1/40384627
Watch: Curran strikes with second delivery on debut,"Fri, 23 Jun 2017 16:28:25 GMT",England debutant Tom Curran bowls South Africa's Reeza Hendricks with his second delivery in the second Twenty20 match at Taunton.,http://www.bbc.co.uk/sport/cricket/40388037
'A Lions team of warriors that can beat the All Blacks' - Guscott column,"Fri, 23 Jun 2017 05:29:21 GMT","The British and Irish Lions, armed with a clinical attacking edge, are good enough to beat the All Blacks, says Lions great Jeremy Guscott.",http://www.bbc.co.uk/sport/rugby-union/40367901
"Henry Blofeld: Seagulls, trousers & porpoises - Blofeld's best pint-sized moments","Fri, 23 Jun 2017 12:27:34 GMT","Henry Blofeld retires from BBC Radio's Test Match Special in September, so BBC Sport have collected together some of his best pint-sized moments.",http://www.bbc.co.uk/sport/cricket/40383727
Winter and Caravaggio give O'Brien Ascot double,"Fri, 23 Jun 2017 16:12:00 GMT",Winter and Caravaggio give trainer Aidan O'Brien and jockey Ryan Moore a big-race double at Royal Ascot.,http://www.bbc.co.uk/sport/horse-racing/40381629
Ten Wales players ill before win over Samoa - reaction & highlights,"Fri, 23 Jun 2017 10:13:00 GMT",Wales coach Robin McBryde says his players overcame a sickness bug in beating Samoa 19-17 in Apia.,http://www.bbc.co.uk/sport/rugby-union/40381198
Andy Murray to play two Wimbledon warm-up matches at Hurlingham,"Fri, 23 Jun 2017 16:14:20 GMT",Andy Murray adds two exhibition matches to his Wimbledon preparations after his early exit from the Aegon Championships.,http://www.bbc.co.uk/sport/tennis/40384009
"European Boxing Championships 2017: Yafai, McGrail, McCormack & Clarke win","Fri, 23 Jun 2017 15:12:17 GMT",England reach four finals at the European Championships and still have another four fighters to contest semi-finals.,http://www.bbc.co.uk/sport/boxing/40385145
"Itoje in, Jones out - who made your Lions XV?","Fri, 23 Jun 2017 13:23:27 GMT",Leigh Halfpenny or Liam Williams? Alun Wyn Jones or Maro Itoje? Owen Farrell or Johnny Sexton? BBC Sport users have had their say.,http://www.bbc.co.uk/sport/rugby-union/40380835
England's Winfield ruled out of Women's World Cup opener,"Fri, 23 Jun 2017 16:55:01 GMT",England opening batter and wicketkeeper Lauren Winfield will miss at least their World Cup opener because of injury.,http://www.bbc.co.uk/sport/cricket/40381590
Punter narrowly misses out on £1m Ascot accumulator,"Fri, 23 Jun 2017 16:14:16 GMT",The £40 accumulator was placed earlier in the week at Ladbrokes in Dunstable.,http://www.bbc.co.uk/news/uk-england-beds-bucks-herts-40383390
"Athletes understand planned record wipe, says outgoing UK Athletics boss","Fri, 23 Jun 2017 11:42:57 GMT","Outgoing UK Athletics chief Ed Warner backs plans to erase world records before 2005, adding athletes affected understand ""the greater good"".",http://www.bbc.co.uk/sport/athletics/40380005
Ireland to hold talks about playing England in Lord's Test,"Fri, 23 Jun 2017 16:10:45 GMT",Ireland are optimistic talks will lead to them facing England in a Test at Lord's after they were granted Test status.,http://www.bbc.co.uk/sport/athletics/40382706
Lionel Messi 'could swap tax fraud jail sentence for fine',"Fri, 23 Jun 2017 10:07:32 GMT","Prosecutors reportedly suggested the Barcelona star pay 255,000 euros instead of serving prison time.",http://www.bbc.co.uk/news/world-europe-40378718
